v1_frame,v2_frame,score,algorithm
0,8,2415,BRISK
30,8,2505,BRISK
60,8,2258,BRISK
90,8,2088,BRISK
120,8,2280,BRISK
150,9,2497,BRISK
180,10,2209,BRISK
210,10,2187,BRISK
240,10,2027,BRISK
270,15,2155,BRISK
300,162,2347,BRISK
330,162,2198,BRISK
360,162,2239,BRISK
390,179,2181,BRISK
420,320,1884,BRISK
450,350,1890,BRISK
480,465,1876,BRISK
510,466,1879,BRISK
540,466,2001,BRISK
570,474,1864,BRISK
600,504,1774,BRISK
630,539,1857,BRISK
660,619,1747,BRISK
690,626,1891,BRISK
720,633,1798,BRISK
750,768,1796,BRISK
780,768,1967,BRISK
810,773,1807,BRISK
840,922,1751,BRISK
870,924,1857,BRISK
900,1072,1682,BRISK
930,1072,1837,BRISK
960,1076,1660,BRISK
990,1224,1869,BRISK
1020,1224,1752,BRISK
1050,1225,1889,BRISK
1080,1225,1815,BRISK
1110,1225,1641,BRISK
1140,1225,1864,BRISK
1170,1227,1655,BRISK
1200,1376,1780,BRISK
1230,1376,1762,BRISK
1260,1376,1675,BRISK
1290,1376,1776,BRISK
1320,1376,1624,BRISK
1350,1377,1825,BRISK
1380,1377,1672,BRISK
1410,1378,1754,BRISK
1440,1379,1499,BRISK
1470,1379,1673,BRISK
1500,1379,1601,BRISK
1530,1379,1687,BRISK
1560,1379,1600,BRISK
1590,1380,1567,BRISK
1620,1383,1668,BRISK
1650,1529,1650,BRISK
1680,1529,1888,BRISK
1710,1529,1716,BRISK
1740,1530,1792,BRISK
1770,1531,1783,BRISK
1800,1680,1975,BRISK
1830,1680,2382,BRISK
1860,1680,2042,BRISK
1890,1684,1910,BRISK
1920,1691,1703,BRISK
1950,1692,1727,BRISK
1980,1692,1962,BRISK
2010,1692,1795,BRISK
2040,1692,1968,BRISK
2070,1692,1942,BRISK
2100,1692,1793,BRISK
2130,1695,1873,BRISK
2160,1695,1629,BRISK
2190,1696,1777,BRISK
2220,1699,1477,BRISK
2250,1699,1351,BRISK
2280,1702,1903,BRISK
2310,1702,1442,BRISK
2340,1702,1649,BRISK
2370,1702,1870,BRISK
2400,1703,1546,BRISK
2430,1832,1900,BRISK
2460,1832,2021,BRISK
2490,1832,1514,BRISK
2520,1832,1756,BRISK
2550,1832,2076,BRISK
2580,1832,2181,BRISK
2610,1832,1867,BRISK
2640,1832,2000,BRISK
2670,1832,1705,BRISK
2700,1832,1724,BRISK
