v1_frame,v2_frame,score,algorithm
0,12,166,ORB
30,96,180,ORB
60,172,166,ORB
90,275,166,ORB
120,345,164,ORB
150,365,161,ORB
180,368,172,ORB
210,509,170,ORB
240,625,168,ORB
270,643,159,ORB
300,732,165,ORB
330,844,168,ORB
360,981,173,ORB
390,1031,178,ORB
420,1041,170,ORB
450,1095,164,ORB
480,1235,167,ORB
510,1244,167,ORB
540,1298,173,ORB
570,1439,157,ORB
600,1532,152,ORB
630,1680,155,ORB
660,1682,164,ORB
690,1778,153,ORB
720,1804,167,ORB
750,1807,158,ORB
780,1899,162,ORB
810,1962,163,ORB
840,2021,165,ORB
870,2170,154,ORB
900,2299,163,ORB
930,2316,153,ORB
960,2332,154,ORB
990,2388,156,ORB
1020,2440,171,ORB
1050,2561,165,ORB
1080,2602,155,ORB
1110,2665,144,ORB
1140,2677,153,ORB
1170,2687,145,ORB
1200,2689,143,ORB
1230,2690,143,ORB
1260,2690,129,ORB
1290,2690,142,ORB
1320,2690,135,ORB
1350,2690,145,ORB
1380,2690,132,ORB
1410,2690,132,ORB
1440,2690,140,ORB
1470,2690,167,ORB
1500,2690,128,ORB
1530,2690,134,ORB
1560,2690,139,ORB
1590,2690,119,ORB
1620,2690,111,ORB
1650,2690,161,ORB
1680,2690,137,ORB
1710,2690,150,ORB
1740,2690,135,ORB
1770,2690,149,ORB
1800,2690,146,ORB
1830,2690,136,ORB
1860,2690,125,ORB
1890,2690,128,ORB
1920,2690,134,ORB
1950,2690,131,ORB
1980,2690,119,ORB
2010,2690,153,ORB
2040,2690,139,ORB
2070,2690,133,ORB
2100,2690,136,ORB
2130,2690,144,ORB
2160,2690,137,ORB
2190,2690,125,ORB
2220,2690,137,ORB
2250,2690,130,ORB
2280,2690,137,ORB
2310,2690,135,ORB
2340,2690,143,ORB
2370,2690,170,ORB
2400,2690,128,ORB
2430,2690,139,ORB
2460,2690,137,ORB
2490,2690,146,ORB
2520,2690,150,ORB
2550,2690,143,ORB
2580,2690,148,ORB
2610,2690,146,ORB
2640,2690,149,ORB
2670,2690,134,ORB
2700,2690,160,ORB
